          Teff = 3500 K,  log g = 0.0,  [M/H] = -4.5

               270   88    0.766 (0.0105)    0.738 -0.041 (0.0065)    0.828 -0.103 (0.0085)
               290   89    0.675 (0.0096)    0.683  0.012 (0.0072)    0.656  0.031 (0.0066)
               310   90    0.591 (0.0207)    0.625  0.051 (0.0079)    0.515  0.126 (0.0054)
               330   91    0.519 (0.0288)    0.571  0.077 (0.0083)    0.403  0.194 (0.0045)
 CaII triplet  858   92    0.248 (0.0829)    0.407  0.239 (0.0156)   -0.111  0.598 (0.0041)
 WIRE  Johnson V+R   93    0.429 (0.0819)    0.601  0.258 (0.0045)    0.043  0.644 (0.0079)
               LUT   94    0.664 (0.0191)    0.698  0.052 (0.0049)    0.586  0.130 (0.0025)
              TESS   95    0.349 (0.0775)    0.506  0.236 (0.0087)   -0.005  0.590 (0.0027)


          Teff = 8500 K,  log g = 3.0,  [M/H] = -4.5

 bolometric           0    0.601 (0.0302)    0.658  0.086 (0.0058)    0.472  0.215 (0.0020)
 Stromgren      u     1    0.474 (0.0352)    0.540  0.099 (0.0083)    0.325  0.247 (0.0036)
                v     2    0.604 (0.0946)    0.814  0.315 (0.0059)    0.132  0.788 (0.0209)
                b     3    0.566 (0.0908)    0.766  0.299 (0.0033)    0.118  0.748 (0.0175)
                y     4    0.488 (0.0853)    0.671  0.275 (0.0016)    0.076  0.686 (0.0118)
 Johnson        U     5    0.520 (0.0749)    0.678  0.237 (0.0035)    0.165  0.592 (0.0083)
                B     6    0.582 (0.0930)    0.787  0.308 (0.0043)    0.121  0.769 (0.0189)
                V     7    0.490 (0.0853)    0.673  0.275 (0.0015)    0.078  0.686 (0.0119)
                R     8    0.388 (0.0750)    0.544  0.234 (0.0056)    0.037  0.585 (0.0057)
                I     9    0.294 (0.0711)    0.437  0.215 (0.0088)   -0.028  0.537 (0.0016)
                J    10    0.235 (0.0655)    0.365  0.194 (0.0100)   -0.057  0.486 (0.0009)
                K    11    0.144 (0.0452)    0.230  0.129 (0.0096)   -0.050  0.323 (0.0035)
                L    12    0.097 (0.0299)    0.152  0.084 (0.0074)   -0.029  0.209 (0.0035)
                M    13    0.071 (0.0221)    0.111  0.060 (0.0062)   -0.019  0.151 (0.0034)
                N    14    0.039 (0.0134)    0.062  0.035 (0.0044)   -0.014  0.088 (0.0028)
 Cousins        Rc   15    0.408 (0.0773)    0.570  0.243 (0.0049)    0.044  0.606 (0.0068)
                Ic   16    0.316 (0.0657)    0.449  0.200 (0.0077)    0.016  0.500 (0.0020)
 Bessell        UX   17    0.519 (0.0697)    0.665  0.219 (0.0039)    0.190  0.548 (0.0069)
 Bessell        BX   18    0.581 (0.0929)    0.786  0.307 (0.0043)    0.120  0.768 (0.0189)
 Bessell        B    19    0.582 (0.0930)    0.787  0.308 (0.0043)    0.121  0.769 (0.0190)
 Bessell        V    20    0.489 (0.0853)    0.672  0.274 (0.0015)    0.077  0.686 (0.0118)
 Bessell        R    21    0.408 (0.0772)    0.569  0.242 (0.0049)    0.044  0.606 (0.0068)
 Bessell        I    22    0.307 (0.0674)    0.443  0.204 (0.0083)    0.001  0.510 (0.0017)
 Tycho         TyB   23    0.588 (0.0937)    0.795  0.310 (0.0046)    0.123  0.775 (0.0192)
               TyV   24    0.504 (0.0869)    0.691  0.281 (0.0010)    0.083  0.702 (0.0128)
 Hipparchos    HIP   25    0.534 (0.0888)    0.727  0.290 (0.0017)    0.099  0.724 (0.0153)
 KEPLER              26    0.464 (0.0825)    0.641  0.264 (0.0022)    0.068  0.660 (0.0106)
 COROT SIS           27    0.473 (0.0833)    0.651  0.268 (0.0018)    0.071  0.669 (0.0113)
 COROT EXO           28    0.467 (0.0829)    0.645  0.266 (0.0020)    0.069  0.664 (0.0110)
 Geneva         U    29    0.482 (0.0384)    0.555  0.109 (0.0083)    0.318  0.273 (0.0031)
                B    30    0.589 (0.0939)    0.796  0.311 (0.0046)    0.123  0.777 (0.0193)
                B1   31    0.593 (0.0949)    0.802  0.314 (0.0046)    0.123  0.784 (0.0193)
                B2   32    0.580 (0.0924)    0.784  0.306 (0.0042)    0.121  0.765 (0.0188)
                V    33    0.490 (0.0853)    0.673  0.275 (0.0015)    0.078  0.686 (0.0119)
                V1   34    0.496 (0.0859)    0.681  0.277 (0.0012)    0.080  0.692 (0.0123)
                G    35    0.458 (0.0826)    0.633  0.263 (0.0030)    0.063  0.658 (0.0098)
 Vilnius        U    36    0.488 (0.0340)    0.551  0.095 (0.0082)    0.345  0.238 (0.0036)
                P    37    0.504 (0.0856)    0.684  0.269 (0.0045)    0.100  0.674 (0.0091)
                X    38    0.602 (0.0948)    0.812  0.315 (0.0055)    0.130  0.788 (0.0204)
                Y    39    0.566 (0.0910)    0.766  0.300 (0.0033)    0.117  0.750 (0.0176)
                Z    40    0.517 (0.0875)    0.706  0.284 (0.0008)    0.092  0.709 (0.0137)
                V    41    0.490 (0.0855)    0.673  0.275 (0.0015)    0.077  0.688 (0.0119)
                S    42    0.380 (0.0761)    0.538  0.237 (0.0061)    0.025  0.592 (0.0053)
 Milone         iz   43    0.276 (0.0731)    0.423  0.220 (0.0093)   -0.055  0.551 (0.0015)
                iJ   44    0.228 (0.0641)    0.354  0.190 (0.0102)   -0.057  0.474 (0.0013)
                iH   45    0.165 (0.0571)    0.274  0.163 (0.0121)   -0.080  0.408 (0.0043)
                iK   46    0.140 (0.0440)    0.224  0.126 (0.0094)   -0.048  0.314 (0.0035)
 YMS94         iz    47    0.276 (0.0731)    0.423  0.220 (0.0093)   -0.055  0.551 (0.0015)
               iJ    48    0.228 (0.0641)    0.354  0.190 (0.0102)   -0.057  0.474 (0.0013)
               iH    49    0.165 (0.0571)    0.274  0.163 (0.0120)   -0.079  0.407 (0.0043)
               iK    50    0.140 (0.0440)    0.224  0.125 (0.0094)   -0.048  0.314 (0.0035)
               iL    51    0.090 (0.0276)    0.141  0.077 (0.0070)   -0.025  0.192 (0.0035)
               iLp   52    0.082 (0.0259)    0.130  0.071 (0.0071)   -0.024  0.177 (0.0038)
               iM    53    0.065 (0.0219)    0.104  0.059 (0.0065)   -0.023  0.147 (0.0037)
               in    54    0.039 (0.0136)    0.063  0.036 (0.0044)   -0.015  0.089 (0.0027)
               iN    55    0.035 (0.0126)    0.057  0.033 (0.0043)   -0.014  0.082 (0.0028)
 Sloan DSS      u    56    0.500 (0.0569)    0.615  0.173 (0.0063)    0.240  0.432 (0.0021)
                g    57    0.555 (0.0907)    0.753  0.298 (0.0027)    0.108  0.745 (0.0168)
                r    58    0.424 (0.0792)    0.591  0.250 (0.0044)    0.050  0.624 (0.0077)
                i    59    0.332 (0.0676)    0.470  0.207 (0.0073)    0.021  0.517 (0.0028)
                z    60    0.277 (0.0756)    0.428  0.227 (0.0098)   -0.064  0.568 (0.0012)
 HST STIS Ly_alpha   61    1.478 (0.3146)    0.718 -1.140 (0.0606)    3.189 -2.851 (0.1142)
            Fclear   62    1.484 (0.3141)    0.737 -1.119 (0.0524)    3.163 -2.798 (0.1055)
             Fsrf2   63    1.467 (0.3043)    0.749 -1.078 (0.0480)    3.085 -2.696 (0.0993)
              Fqtz   64    1.371 (0.2473)    0.806 -0.847 (0.0255)    2.642 -2.118 (0.0662)
              CIII   65    1.151 (0.1263)    0.871 -0.420 (0.0053)    1.781 -1.050 (0.0254)
              MgII   66    0.726 (0.0060)    0.724 -0.002 (0.0066)    0.729 -0.006 (0.0067)
            Nclear   67    1.046 (0.1046)    0.805 -0.362 (0.0122)    1.588 -0.904 (0.0295)
             Nsrf2   68    1.030 (0.0964)    0.809 -0.331 (0.0101)    1.526 -0.827 (0.0260)
              Nqtz   69    1.017 (0.0897)    0.813 -0.306 (0.0085)    1.476 -0.765 (0.0232)
             cn182   70    1.181 (0.1505)    0.843 -0.508 (0.0108)    1.944 -1.270 (0.0352)
             cn270   71    0.779 (0.0089)    0.756 -0.035 (0.0062)    0.831 -0.087 (0.0079)
            Oclear   72    0.474 (0.0807)    0.646  0.258 (0.0021)    0.086  0.646 (0.0105)
         Oclear-lp   73    0.374 (0.0752)    0.530  0.234 (0.0061)    0.024  0.584 (0.0052)
             [OII]   74    0.408 (0.0981)    0.604  0.295 (0.0119)   -0.035  0.738 (0.0031)
            [OIII]   75    0.532 (0.0879)    0.723  0.285 (0.0013)    0.104  0.713 (0.0143)
 2MASS          J    76    0.231 (0.0647)    0.359  0.192 (0.0101)   -0.056  0.479 (0.0011)
 2MASS          H    77    0.167 (0.0560)    0.274  0.160 (0.0118)   -0.073  0.400 (0.0042)
 2MASS          Ks   78    0.144 (0.0450)    0.230  0.129 (0.0095)   -0.049  0.322 (0.0034)
 SWASP               79    0.506 (0.0864)    0.693  0.280 (0.0008)    0.086  0.700 (0.0134)
 MOST                80    0.496 (0.0854)    0.680  0.276 (0.0010)    0.082  0.690 (0.0127)
 GAIA (2006)    G    81    0.482 (0.0839)    0.662  0.270 (0.0014)    0.077  0.675 (0.0118)
 GAIA (2010)    G    82    0.462 (0.0823)    0.638  0.263 (0.0022)    0.067  0.659 (0.0106)
 GAIA (2010)    BP   83    0.513 (0.0866)    0.700  0.281 (0.0009)    0.091  0.702 (0.0136)
 GAIA (2010)    RP   84    0.329 (0.0712)    0.474  0.218 (0.0076)    0.002  0.545 (0.0029)
 GAIA (2010)  G_RV   85    0.246 (0.0740)    0.391  0.217 (0.0124)   -0.079  0.542 (0.0020)
 Milone        230   86    0.981 (0.0594)    0.846 -0.202 (0.0053)    1.284 -0.505 (0.0150)
               250   87    0.874 (0.0292)    0.805 -0.104 (0.0056)    1.030 -0.259 (0.0106)
               270   88    0.774 (0.0082)    0.753 -0.032 (0.0063)    0.822 -0.079 (0.0078)
               290   89    0.685 (0.0110)    0.698  0.020 (0.0067)    0.655  0.049 (0.0058)
               310   90    0.603 (0.0214)    0.640  0.054 (0.0074)    0.522  0.136 (0.0048)
               330   91    0.532 (0.0290)    0.585  0.080 (0.0076)    0.412  0.199 (0.0038)
 CaII triplet  858   92    0.237 (0.0734)    0.379  0.214 (0.0130)   -0.083  0.534 (0.0027)
 WIRE  Johnson V+R   93    0.433 (0.0795)    0.601  0.252 (0.0037)    0.055  0.630 (0.0084)
               LUT   94    0.673 (0.0199)    0.709  0.054 (0.0052)    0.592  0.136 (0.0026)
              TESS   95    0.349 (0.0735)    0.499  0.226 (0.0070)    0.009  0.566 (0.0039)


          Teff = 8500 K,  log g = 3.5,  [M/H] = -4.5

 bolometric           0    0.610 (0.0276)    0.664  0.080 (0.0049)    0.491  0.199 (0.0012)
 Stromgren      u     1    0.492 (0.0353)    0.559  0.101 (0.0077)    0.341  0.251 (0.0029)
                v     2    0.611 (0.0933)    0.819  0.311 (0.0053)    0.144  0.779 (0.0202)
                b     3    0.581 (0.0869)    0.773  0.288 (0.0035)    0.148  0.721 (0.0174)
                y     4    0.497 (0.0815)    0.674  0.264 (0.0007)    0.101  0.661 (0.0122)
 Johnson        U     5    0.511 (0.0748)    0.667  0.234 (0.0045)    0.160  0.586 (0.0069)
                B     6    0.589 (0.0910)    0.791  0.302 (0.0039)    0.136  0.755 (0.0185)
                V     7    0.499 (0.0816)    0.675  0.265 (0.0006)    0.102  0.662 (0.0123)
                R     8    0.393 (0.0718)    0.543  0.226 (0.0043)    0.053  0.565 (0.0067)
                I     9    0.295 (0.0668)    0.431  0.205 (0.0068)   -0.012  0.512 (0.0031)
                J    10    0.236 (0.0618)    0.360  0.186 (0.0079)   -0.044  0.466 (0.0012)
                K    11    0.143 (0.0421)    0.225  0.123 (0.0076)   -0.041  0.307 (0.0018)
                L    12    0.096 (0.0270)    0.148  0.077 (0.0056)   -0.020  0.194 (0.0020)
                M    13    0.070 (0.0194)    0.106  0.054 (0.0048)   -0.011  0.135 (0.0023)
                N    14    0.038 (0.0118)    0.059  0.031 (0.0037)   -0.008  0.078 (0.0022)
 Cousins        Rc   15    0.413 (0.0739)    0.569  0.234 (0.0037)    0.062  0.586 (0.0076)
                Ic   16    0.320 (0.0627)    0.449  0.193 (0.0061)    0.030  0.483 (0.0033)
 Bessell        UX   17    0.514 (0.0691)    0.658  0.216 (0.0048)    0.190  0.539 (0.0057)
 Bessell        BX   18    0.589 (0.0908)    0.790  0.301 (0.0039)    0.137  0.754 (0.0184)
 Bessell        B    19    0.590 (0.0910)    0.791  0.302 (0.0040)    0.137  0.755 (0.0185)
 Bessell        V    20    0.498 (0.0815)    0.674  0.264 (0.0006)    0.101  0.661 (0.0123)
 Bessell        R    21    0.413 (0.0739)    0.569  0.234 (0.0037)    0.062  0.585 (0.0076)
 Bessell        I    22    0.310 (0.0638)    0.441  0.196 (0.0065)    0.016  0.489 (0.0030)
 Tycho         TyB   23    0.593 (0.0924)    0.797  0.306 (0.0039)    0.134  0.766 (0.0186)
               TyV   24    0.512 (0.0836)    0.693  0.272 (0.0004)    0.104  0.680 (0.0132)
 Hipparchos    HIP   25    0.541 (0.0860)    0.729  0.282 (0.0016)    0.117  0.705 (0.0152)
 KEPLER              26    0.471 (0.0791)    0.641  0.255 (0.0013)    0.088  0.638 (0.0111)
 COROT SIS           27    0.478 (0.0801)    0.651  0.259 (0.0010)    0.090  0.648 (0.0116)
 COROT EXO           28    0.473 (0.0796)    0.645  0.257 (0.0011)    0.087  0.643 (0.0114)
 Geneva         U    29    0.498 (0.0379)    0.570  0.109 (0.0078)    0.334  0.272 (0.0026)
                B    30    0.594 (0.0927)    0.799  0.307 (0.0039)    0.133  0.768 (0.0187)
                B1   31    0.591 (0.0955)    0.801  0.315 (0.0033)    0.118  0.787 (0.0183)
                B2   32    0.592 (0.0893)    0.790  0.297 (0.0042)    0.146  0.743 (0.0185)
                V    33    0.499 (0.0815)    0.676  0.264 (0.0006)    0.103  0.661 (0.0123)
                V1   34    0.506 (0.0821)    0.684  0.267 (0.0004)    0.106  0.667 (0.0127)
                G    35    0.466 (0.0788)    0.635  0.253 (0.0019)    0.086  0.634 (0.0104)
 Vilnius        U    36    0.505 (0.0343)    0.570  0.097 (0.0076)    0.359  0.243 (0.0029)
                P    37    0.484 (0.0869)    0.664  0.271 (0.0059)    0.077  0.677 (0.0074)
                X    38    0.604 (0.0948)    0.814  0.315 (0.0044)    0.132  0.786 (0.0195)
                Y    39    0.581 (0.0871)    0.773  0.289 (0.0035)    0.147  0.722 (0.0174)
                Z    40    0.528 (0.0836)    0.710  0.273 (0.0009)    0.118  0.683 (0.0140)
                V    41    0.500 (0.0817)    0.676  0.265 (0.0006)    0.102  0.663 (0.0124)
                S    42    0.379 (0.0735)    0.533  0.230 (0.0050)    0.034  0.576 (0.0062)
 Milone         iz   43    0.277 (0.0683)    0.417  0.209 (0.0070)   -0.037  0.523 (0.0032)
                iJ   44    0.228 (0.0606)    0.350  0.182 (0.0081)   -0.045  0.455 (0.0009)
                iH   45    0.163 (0.0529)    0.265  0.153 (0.0098)   -0.067  0.384 (0.0025)
                iK   46    0.140 (0.0408)    0.219  0.119 (0.0075)   -0.038  0.297 (0.0019)
 YMS94         iz    47    0.277 (0.0684)    0.417  0.209 (0.0070)   -0.037  0.523 (0.0032)
               iJ    48    0.228 (0.0606)    0.350  0.182 (0.0081)   -0.045  0.455 (0.0009)
               iH    49    0.163 (0.0528)    0.265  0.153 (0.0098)   -0.067  0.383 (0.0025)
               iK    50    0.140 (0.0408)    0.219  0.119 (0.0075)   -0.038  0.297 (0.0019)
               iL    51    0.090 (0.0248)    0.137  0.071 (0.0053)   -0.017  0.178 (0.0020)
               iLp   52    0.082 (0.0230)    0.125  0.065 (0.0053)   -0.016  0.162 (0.0023)
               iM    53    0.063 (0.0190)    0.098  0.052 (0.0050)   -0.016  0.131 (0.0025)
               in    54    0.038 (0.0122)    0.060  0.033 (0.0036)   -0.012  0.083 (0.0020)
               iN    55    0.035 (0.0110)    0.054  0.028 (0.0037)   -0.007  0.071 (0.0024)
 Sloan DSS      u    56    0.501 (0.0560)    0.613  0.169 (0.0068)    0.247  0.423 (0.0014)
                g    57    0.564 (0.0877)    0.757  0.290 (0.0028)    0.130  0.724 (0.0167)
                r    58    0.430 (0.0757)    0.590  0.241 (0.0032)    0.068  0.602 (0.0084)
                i    59    0.336 (0.0646)    0.469  0.200 (0.0057)    0.035  0.501 (0.0040)
                z    60    0.275 (0.0700)    0.417  0.214 (0.0076)   -0.046  0.534 (0.0028)
 HST STIS Ly_alpha   61    1.464 (0.3021)    0.737 -1.090 (0.0555)    3.099 -2.726 (0.1069)
            Fclear   62    1.492 (0.3149)    0.744 -1.122 (0.0518)    3.175 -2.805 (0.1051)
             Fsrf2   63    1.477 (0.3057)    0.755 -1.084 (0.0478)    3.103 -2.709 (0.0993)
              Fqtz   64    1.377 (0.2455)    0.817 -0.840 (0.0245)    2.638 -2.101 (0.0648)
              CIII   65    1.144 (0.1166)    0.887 -0.385 (0.0037)    1.722 -0.963 (0.0222)
              MgII   66    0.738 (0.0074)    0.743  0.008 (0.0059)    0.725  0.021 (0.0055)
            Nclear   67    1.044 (0.0967)    0.822 -0.333 (0.0106)    1.543 -0.832 (0.0266)
             Nsrf2   68    1.030 (0.0895)    0.826 -0.306 (0.0088)    1.488 -0.764 (0.0235)
              Nqtz   69    1.018 (0.0831)    0.830 -0.282 (0.0073)    1.440 -0.704 (0.0208)
             cn182   70    1.176 (0.1416)    0.859 -0.475 (0.0088)    1.889 -1.188 (0.0317)
             cn270   71    0.789 (0.0061)    0.774 -0.022 (0.0055)    0.822 -0.056 (0.0066)
            Oclear   72    0.479 (0.0776)    0.646  0.250 (0.0014)    0.104  0.625 (0.0108)
         Oclear-lp   73    0.378 (0.0716)    0.528  0.225 (0.0047)    0.040  0.562 (0.0062)
             [OII]   74    0.377 (0.0965)    0.569  0.288 (0.0132)   -0.055  0.719 (0.0015)
            [OIII]   75    0.546 (0.0832)    0.727  0.272 (0.0012)    0.139  0.679 (0.0140)
 2MASS          J    76    0.232 (0.0611)    0.355  0.184 (0.0080)   -0.043  0.459 (0.0010)
 2MASS          H    77    0.166 (0.0521)    0.267  0.152 (0.0095)   -0.061  0.379 (0.0022)
 2MASS          Ks   78    0.144 (0.0419)    0.225  0.122 (0.0076)   -0.039  0.305 (0.0018)
 SWASP               79    0.514 (0.0832)    0.695  0.271 (0.0006)    0.107  0.678 (0.0136)
 MOST                80    0.504 (0.0821)    0.682  0.267 (0.0004)    0.103  0.668 (0.0130)
 GAIA (2006)    G    81    0.488 (0.0807)    0.663  0.262 (0.0007)    0.096  0.654 (0.0121)
 GAIA (2010)    G    82    0.468 (0.0790)    0.638  0.255 (0.0013)    0.086  0.637 (0.0110)
 GAIA (2010)    BP   83    0.520 (0.0836)    0.701  0.273 (0.0007)    0.111  0.682 (0.0137)
 GAIA (2010)    RP   84    0.331 (0.0676)    0.471  0.209 (0.0060)    0.017  0.523 (0.0041)
 GAIA (2010)  G_RV   85    0.248 (0.0655)    0.378  0.194 (0.0099)   -0.043  0.485 (0.0007)
 Milone        230   86    0.982 (0.0529)    0.863 -0.178 (0.0042)    1.249 -0.446 (0.0128)
               250   87    0.881 (0.0247)    0.822 -0.087 (0.0049)    1.011 -0.218 (0.0091)
               270   88    0.784 (0.0055)    0.772 -0.019 (0.0055)    0.813 -0.048 (0.0064)
               290   89    0.699 (0.0128)    0.718  0.028 (0.0061)    0.657  0.071 (0.0048)
               310   90    0.620 (0.0228)    0.660  0.061 (0.0068)    0.528  0.152 (0.0038)
               330   91    0.550 (0.0299)    0.606  0.084 (0.0071)    0.424  0.209 (0.0031)
 CaII triplet  858   92    0.241 (0.0638)    0.366  0.187 (0.0105)   -0.040  0.468 (0.0015)
 WIRE  Johnson V+R   93    0.439 (0.0761)    0.601  0.243 (0.0026)    0.075  0.608 (0.0091)
               LUT   94    0.686 (0.0201)    0.724  0.056 (0.0050)    0.603  0.139 (0.0023)
              TESS   95    0.351 (0.0699)    0.496  0.218 (0.0054)    0.025  0.544 (0.0051)


          Teff = 8500 K,  log g = 4.0,  [M/H] = -4.5

 bolometric           0    0.613 (0.0285)    0.671  0.087 (0.0031)    0.482  0.218 (0.0012)
 Stromgren      u     1    0.516 (0.0362)    0.586  0.105 (0.0070)    0.358  0.262 (0.0020)
                v     2    0.606 (0.0938)    0.816  0.314 (0.0058)    0.135  0.786 (0.0209)
                b     3    0.586 (0.0849)    0.776  0.285 (0.0052)    0.158  0.713 (0.0188)
                y     4    0.503 (0.0789)    0.677  0.260 (0.0017)    0.113  0.651 (0.0139)
 Johnson        U     5    0.507 (0.0739)    0.661  0.232 (0.0045)    0.159  0.580 (0.0067)
                B     6    0.587 (0.0907)    0.789  0.303 (0.0049)    0.132  0.758 (0.0194)
                V     7    0.504 (0.0790)    0.678  0.260 (0.0017)    0.114  0.651 (0.0139)
